Date,Player,Guesses
2026-04-23,Bess,3
2026-04-23,Chris,4
2026-04-23,Trace,2
2026-04-23,Caiden,4
2026-04-23,Noah,3
2026-04-24,Bess,3
2026-04-24,Caiden,5
2026-04-24,Noah,4
2026-04-25,Bess,3
2026-04-25,Trace,4
2026-04-25,Noah,6
2026-04-26,Bess,6
2026-04-26,Chris,4
2026-04-26,Caiden,7
2026-04-26,Noah,4
2026-04-26,Andrew,6
2026-04-26,Stone,3
2026-04-26,Kaleb,6
2026-04-27,Bess,5
2026-04-27,Chris,7
2026-04-27,Trace,5
2026-04-27,Caiden,7
2026-04-27,Noah,3
2026-04-27,Andrew,4
2026-04-27,Kaleb,7
2026-04-28,Bess,4
2026-04-28,Chris,4
2026-04-28,Trace,3
2026-04-28,Caiden,7
2026-04-28,Noah,4
2026-04-28,Kaleb,5
2026-04-28,Dallin,3
2026-04-29,Bess,3
2026-04-29,Chris,5
2026-04-29,Trace,4
2026-04-29,Caiden,7
2026-04-29,Kaleb,5
2026-04-29,Dallin,5
2026-04-30,Bess,4
2026-04-30,Chris,6
2026-04-30,Trace,4
2026-04-30,Caiden,6
2026-04-30,Noah,5
2026-05-01,Bess,3
2026-05-01,Chris,4
2026-05-01,Caiden,3
2026-05-01,Noah,4
2026-05-02,Bess,5
2026-05-02,Chris,4
2026-05-02,Noah,4
2026-05-02,Andrew,5
2026-05-02,Kaleb,5
2026-05-02,Dallin,4
2026-05-02,Clayton,3
2026-05-03,Bess,5
2026-05-03,Chris,3
2026-05-03,Trace,5
2026-05-03,Caiden,5
2026-05-03,Noah,4
2026-05-03,Andrew,5
2026-05-03,Kaleb,5
2026-05-03,Dallin,6
2026-05-03,Clayton,3
2026-05-04,Bess,5
2026-05-04,Chris,6
2026-05-04,Trace,4
2026-05-04,Caiden,5
2026-05-04,Noah,2
2026-05-04,Andrew,4
2026-05-04,Kaleb,5
2026-05-04,Dallin,5
2026-05-04,Clayton,5
2026-05-05,Bess,5
2026-05-05,Chris,5
2026-05-05,Trace,2
2026-05-05,Caiden,7
2026-05-05,Noah,4
2026-05-05,Kaleb,3
2026-05-05,Dallin,7
2026-05-05,Clayton,3
2026-05-06,Bess,4
2026-05-06,Chris,7
2026-05-06,Caiden,7
2026-05-06,Noah,6
2026-05-06,Andrew,4
2026-05-06,Kaleb,3
2026-05-06,Dallin,6
2026-05-07,Bess,3
2026-05-07,Chris,5
2026-05-07,Trace,4
2026-05-07,Caiden,7
2026-05-07,Noah,3
2026-05-07,Kaleb,4
2026-05-07,Dallin,7
2026-05-07,Clayton,5
2026-05-08,Bess,4
2026-05-08,Chris,6
2026-05-08,Trace,5
2026-05-08,Noah,4
2026-05-08,Andrew,6
2026-05-08,Kaleb,5
2026-05-08,Dallin,5
2026-05-09,Bess,3
2026-05-09,Chris,2
